vowels,time_s,F1_Hz,F2_Hz,F3_HZ,F4_Hz,F0_Hz
Gewrgakopoulou_a_1,0.544291,848.625513,1568.060976,2015.169151,3433.256919,247.6072644
Gewrgakopoulou_a_2,0.437041,840.759016,1623.941405,2685.245194,3325.841297,355.8976237
Gewrgakopoulou_a_3,0.544291,955.110182,1537.339495,2670.589124,3295.823744,247.4822282
Gewrgakopoulou_e_1,0.766332,656.180942,1885.44081,3002.803349,3208.585007,217.8744028
Gewrgakopoulou_e_2,0.648781,657.969435,2166.567753,3246.642364,3735.684182,320.3767431
Gewrgakopoulou_e_3,0.764495,644.619635,1771.971803,3253.940908,3460.016072,296.1709991
Gewrgakopoulou_i_1,0.779393,458.090788,2339.368337,3040.686283,4049.026698,302.0296454
Gewrgakopoulou_i_2,0.371735,433.083637,2411.75995,2897.730672,3652.192082,218.7175185
Gewrgakopoulou_i_3,0.476225,495.690201,2344.568774,3165.655269,3210.516399,376.5056287
Gewrgakopoulou_u_1,0.800873,500.291468,1280.007975,3339.467011,3659.058428,250.5285672
Gewrgakopoulou_w_1,1.142302,727.531347,1267.28032,2798.912133,3534.837326,247.7239686
Gewrgakopoulou_w_2,0.774751,617.500197,1367.827761,3141.222502,3326.095706,277.8545415
Gewrgakopoulou_w_3,0.902557,663.820435,1285.538543,3218.244634,3854.252083,254.0996508
Gewrgakopoulou_w_4,0.463163,736.917908,1418.706483,3162.571022,3694.571939,240.6018457
Gewrgakopoulou_w_5,0.280306,642.147641,1337.804253,2567.754977,3320.008417,287.9494442
Kazantzidis_a_1,0.682353,882.795696,1344.026016,2878.309167,3700.916993,210.2780811
Kazantzidis_a_10,0.672098,801.756463,1315.83541,2845.573658,3588.818233,167.2620517
Kazantzidis_a_11,0.437041,919.641941,1418.194088,2871.019368,3612.518658,218.8888542
Kazantzidis_a_12,1.128373,820.03841,1518.637611,2850.717046,3669.329568,189.8417171
Kazantzidis_a_13,0.902557,796.131729,1553.680483,2644.956407,3456.971353,191.7393405
Kazantzidis_a_14,0.805516,803.985938,1391.215652,2554.877534,3509.553568,193.8710382
Kazantzidis_a_15,0.895108,883.826488,1458.763292,2842.992638,3703.002947,287.410779
Kazantzidis_a_16,0.896944,881.404346,1429.339645,2758.152317,3547.321514,281.8488749
Kazantzidis_a_17,0.780363,679.747589,1357.681146,2482.175305,3465.887866,147.675927
Kazantzidis_a_18,1.052812,870.984607,1549.486829,2685.076668,3645.467436,226.8766874
Kazantzidis_a_19,0.53123,738.119328,1484.431112,2557.006051,3529.542624,150.6661514
Kazantzidis_a_2,0.672098,762.607662,1301.319692,2666.683648,3647.263794,127.7638178
Kazantzidis_a_20,0.625465,880.650173,1362.622274,2762.693188,3519.781799,212.5528705
Kazantzidis_a_21,0.505108,834.95147,1331.545051,2615.279275,3325.672719,173.6704386
Kazantzidis_a_22,0.397857,719.324906,1341.527246,2624.319509,3615.478263,148.9886587
Kazantzidis_a_3,0.518169,934.415534,1360.618269,2800.691773,3722.491424,220.2464227
Kazantzidis_a_4,0.789649,875.795229,1442.245433,2534.731501,3478.237854,204.7315647
Kazantzidis_a_5,0.628271,789.436372,1439.816437,2440.292228,3610.099368,197.0784491
Kazantzidis_a_6,0.463163,921.0036,1447.808648,2663.543299,3610.333138,233.4001641
Kazantzidis_a_7,0.63572,851.127175,1368.874596,2712.238412,3567.801255,227.4237735
