Row;Rate;Depth;Regularity
Ninou_a_2;5,7421875;0,024032952;0,231438743
Ninou_a_3;5,98784258;0,030888923;0,359895563
Ninou_a_4;5,61018319;0,036953666;0,539382619
Ninou_a_5;5,880553464;0,048600669;0,28029484
Ninou_a_6;5,576944694;0,030228836;0,402987923
Ninou_a_7;6,380208333;0,044518461;0,082255374
Ninou_a_8;5,981445313;0,054971912;0,00187368
Ninou_e_1;1,980064655;0,033483265;0,070789421
Ninou_e_2;1,260480183;0,115663267;0,216190117
Ninou_e_3;6,044407895;0,065434663;0,464829648
Ninou_e_4;5,066636029;0,082863123;0,300905587
Ninou_e_5;7,3828125;0,042069198;0,054927176
Ninou_i_1;7,526168083;0,028786036;0,201916808
Ninou_i_2;3,039981618;0,037052821;0,093547453
Ninou_i_3;6,052576014;0,037869016;0,683584237
Ninou_i_4;2,0671875;0,056392565;0,419442234
Ninou_i_5;7,3828125;0,051029037;0,178484557
Ninou_i_6;6,625600962;0,057608749;0,231924916
Ninou_u_1;5,066636029;0,027171945;0,261105372
Ninou_u_2;0,694619456;0,042599001;0,022623659
Ninou_u_3;4,006177326;0,014320651;0,113998659
Ninou_u_4;6,380208333;0,047745677;0,538484375
Ninou_u_5;7,830255682;0,032781429;0,292681073
Ninou_w_1;1,118607955;0,17017217;0,491386169
Ninou_w_2;2,610085227;0,049554999;0,090176262
Ninou_w_3;6,406572831;0,050443522;0,35091749
Ninou_w_4;4,921875;0,081922189;0,007539549
Ninou_w_5;6,3984375;0,037495246;0,623490813
Ninou_w_6;5,928169281;0,041225107;0,080298976
Ninou_w_7;13,89238911;0,024209622;0,280921466
Ninou_w_8;5,066636029;0,036759664;0,163999546
Ninou_w_9;7,093290441;0,033321672;0,128035779
Pagioumtzis_a_1;6,774490871;0,465548737;0,252611642
Pagioumtzis_a_10;2,392578125;0,039149676;0,544786255
Pagioumtzis_a_11;2,171415441;0,090172797;0,525146403
Pagioumtzis_a_12;13,59991776;0,008646534;0,541849635
Pagioumtzis_a_13;6,625600962;0,017165053;0,849065449
Pagioumtzis_a_14;10,3359375;0,021531046;0,789584522
Pagioumtzis_a_15;6,459960938;0,047062166;0,466638954
Pagioumtzis_a_16;5,940193966;0,07051093;0,815217971
Pagioumtzis_a_17;5,066636029;0,070645705;0,269037796
Pagioumtzis_a_18;6,774490871;0,012696075;0,260246369
Pagioumtzis_a_19;3,4453125;0,062159196;0,257567362
Pagioumtzis_a_2;6,915773266;0,054345821;0,473403248
Pagioumtzis_a_20;12,3046875;0,036047788;0,659341673
