SoundFile,Pitch,SpectralCentroid,SpectralSpread,SpectralSkewness,SpectralKurtosis,SpectralFlatness,SpectralCrest,SpectralSlope,SpectralDecrease,SpectralRollOff,SpectralVariation,SpectralFlux,HarmonicSpectralDeviation,Tristimulus_1,Tristimulus_2,Tristimulus_3,HarmonicOddToEvenRatio,Inharmonicity,HarmonicEnergy,NoiseEnergy,Noisiness,HarmonicToNoiseEnergy,PartialsToNoiseEnergy
Bellou_e_4,330.416320207854,1352.67480655436,904.73560484383,1.04096360411633,3.49730339433812,4.32640618216407e-08,0.252490917735022,9.39362574980109e-07,0.0192296524001699,2731.06339200226,0.736906916256468,0.00225828185315119,0.00677455489763523,0.186863660491806,0.614412782524512,0.166105123025858,0.584234004510007,0.175324047027192,0.0178208428250646,0.0320280736300915,0.558903555896972,0.525029504626403,0.789226645523514
Bellou_e_5,292.418463282046,2128.25205284495,1274.11758670992,0.614514795552518,2.80999719780377,4.86740061003353e-09,0.183215545489763,1.19546506844309e-06,0.00763003742289882,7662.58818444999,0.768564434636708,0.00121580578755472,0.00956198678728764,0.0642004349238919,0.350434164626752,0.58847217516955,3.03445043558187,0.119448876816337,0.0288514013907782,0.0289349315648426,0.469955518241148,1.04881567032718,1.12786095957037
Bellou_i_1,248.607141372211,2051.22340249033,1357.90493886514,0.036354052182988,1.67254886205122,1.83381563917598e-07,0.251379873132264,1.00665413445581e-06,0.0183888634852596,3804.81342690097,0.769028604307191,0.00166406825696712,0.00604204685136489,0.133909793793898,0.527868142763914,0.33836744042616,0.232224314529749,0.133338515287645,0.0107944608218621,0.0153040787564185,0.483957319831605,0.871989850274888,1.0662980701587
Bellou_i_2,442.839670029662,2332.10681430919,1558.56550685011,0.552855531644778,3.04218530796144,1.62937408156002e-09,0.239875990794953,8.78303160735517e-07,0.0095315919560856,6330.46329719309,0.803322102085685,0.00153138852600225,0.0106614188794374,0.438027139906947,0.126469669179747,0.43761085686874,14.2840214660783,0.0851715210922162,0.0315520628993101,0.0297861973466015,0.481970459336829,1.03162011362919,1.07485218797784
Bellou_i_3,221.867918450727,1564.6012621316,1332.74903026669,0.538507186695633,1.71514559433078,1.09356681040983e-06,0.403496925683929,2.85583708189781e-07,0.0273639229202818,3489.07738768134,0.857548302777136,0.00320068503714711,0.00733160206894979,0.125854813186746,0.697289263508837,0.124013407299742,0.106308236822127,0.134998265767568,0.0185798628603553,0.0248476047324029,0.478797788469078,0.887866466870178,1.08856436701061
Bellou_i_4,351.583591031385,2306.76379146131,1313.78454012858,-0.260143745079856,1.89278494433622,2.49501996965945e-08,0.227782091875177,1.71664240563166e-06,0.014442590995907,5160.81606072204,0.775161137790119,0.00187555193305267,0.0125529025560981,0.30179845945905,0.0519013507770148,0.648267412920907,5.65247481928917,0.0750521034636981,0.0235195446177227,0.022655365615972,0.439428227298294,1.26549444151669,1.27568448697124
Bellou_i_5,392.819824216611,1695.89221436802,1184.25434284656,0.261625145178177,1.62896259700977,2.26894892145994e-10,0.301439364315922,1.9707646421341e-06,0.013636264854784,4534.73808992699,0.67763071423921,0.00129782455469148,0.0093650148222123,0.42319049095129,0.161112687786383,0.445917501866843,2.36213305030112,0.0808823299712504,0.0118762631653179,0.0105324374915265,0.442267993138005,1.22261323963278,1.26107259082541
Bellou_i_6,324.6460687011,2127.90689755265,1276.22055456957,-0.259604045513056,1.71924814006323,7.74675753753897e-09,0.238401197427608,1.93870235522294e-06,0.0194913348395225,4253.29430441628,0.723684727078416,0.00206928016896517,0.00618433805575544,0.309203842644945,0.0932887020572296,0.596693571278182,4.96071548181278,0.0752147219878065,0.0144539098589869,0.0153059660624143,0.480796662923057,0.944830894388499,1.07988132430119
Bellou_i_7,442.200627531918,1092.39834003809,923.046766455089,1.24548807043836,3.36231032516813,3.79270404572448e-10,0.547322370192686,2.91280327681882e-06,0.0330108678336469,3076.25408525263,0.671588054580139,0.00551192243393059,0.00965367906601093,0.564936843049737,0.239750836306645,0.196935423529306,13.386798112431,0.051124444639252,0.0468855464803116,0.0361955696277923,0.429910330988929,1.32270029147485,1.3260664564853
Bellou_u_1,350.77219816729,781.113288250356,455.853111450695,1.91556343776082,10.4256439635629,1.19685746178912e-05,0.360984780160272,-9.6762392556345e-06,0.202742928840506,2110.23178128159,0.000252197297664458,0.000455491352995469,0.0106445502584587,0.336574558209327,0.633689158040007,0.0292452863239929,2.02376815620258,0.0755375166281627,0.042766403386946,0.0325586769955758,0.42957906988666,1.3245219437059,1.32786015450855
Bellou_u_2,331.754905763589,679.1609530335,329.612892364416,0.315636123457475,2.05347504141712,4.17617376932909e-07,0.350841312028583,1.0878752026098e-05,0.050799027304205,1702.95117415248,0.50901188025417,0.0056486403411396,0.0276752686227428,0.432275284211071,0.55854382528968,0.0098422679999604,14.4846304777339,0.0582293394674298,0.0326712612105234,0.0360439144316904,0.446694775519354,1.16081027771034,1.2386703982107
Bellou_u_3,285.409707600653,993.570363969992,852.047833219893,2.02790275753469,7.49087780162959,1.09452646411268e-05,0.207506560298375,-4.60760982104801e-07,0.0217329484440233,3047.88488863354,0.718180587944101,0.00232276718358164,0.00618747688572528,0.267320631092415,0.653093020908548,0.077490766185221,0.834948734418938,0.140371938602369,0.0260635817176562,0.028707760453398,0.46998893363897,0.90452568613324,1.12771958355231
Bellou_u_4,252.952717657926,889.367000607313,655.137442640201,2.05389144175555,8.09023192738498,3.24889319726896e-06,0.238745813758918,-4.46509334305617e-07,0.0296352014035819,1320.00452904312,0.746359850813152,0.00326758720931814,0.00660505498950526,0.359649023460943,0.541079737300871,0.109183709789332,4.59976408469027,0.126860559429209,0.0258269147840263,0.0262974922756702,0.466083418468826,0.979608549766643,1.14553867478314
Bellou_u_5,307.844346182221,547.269464480741,339.184661972226,1.82963893587444,6.83463514243075,9.09235784998028e-10,0.509165326203915,6.19207680659085e-06,0.0304053130353835,3750.63705410754,0.817399603620351,0.00501149263241108,0.00923372176950114,0.586884584720423,0.396349474704198,0.018170049429009,3.73087005005691,0.069736310644347,0.0395734825400203,0.0345839799227224,0.430797908087482,1.31933520009707,1.32127403877024
Bellou_w_1,320.824532807575,1142.62969929064,841.17190651068,1.94444211678869,6.67451120978224,3.89258209234158e-08,0.255793754491674,8.49496275045804e-07,0.0196706784945478,2270.63918434484,0.689471906276044,0.00279933646419095,0.00819439814302192,0.165095772182469,0.74052266100709,0.0892253139178667,0.742267965745387,0.105490649226824,0.0351963685579068,0.0334271715277891,0.453659696306374,1.15227663301262,1.20431860573715
Bellou_w_2,329.558459969974,926.184211101195,649.391925948872,2.79947616839504,12.5919637961174,7.39710492468787e-07,0.393124778664065,-2.05091697718438e-06,0.0875597119274572,1246.6728150778,0.31118980592466,0.00654875749009586,0.0114507053676229,0.196560760120545,0.772051105116223,0.0545987707532986,0.312161556640296,0.0621603440821187,0.0339284796098791,0.0284554582650172,0.427119492380995,1.33645615169475,1.34126563011315
Bellou_w_3,266.450536719744,968.814109671958,681.129950328084,2.51008430948335,10.4477800816195,6.03109318400603e-08,0.279720661665953,4.17808694001132e-07,0.02526613991218,2975.87233193147,0.744774243792071,0.00375474389937692,0.00937015619853664,0.163981423922569,0.74183931853886,0.0965441712706239,1.58747558146695,0.0967341774260316,0.0439078756181931,0.0374687071152468,0.458774044581829,1.16430565313212,1.17972226591741
Bellou_w_4,267.066879934111,841.963679760683,404.874259138155,2.0011452646436,12.024368004014,1.2255166697502e-06,0.413110750762253,2.24066896969338e-06,0.0521923119486958,1617.31525169708,0.586771460637783,0.00551247468677241,0.0165586659945537,0.149059956815046,0.783939211576461,0.0459862120442052,4.64260660536125,0.0959757886953746,0.0247557028178997,0.0273254038028915,0.476858168689533,1.02734279855344,1.09705959897495
Bellou_w_5,347.947041150573,1266.46512918115,1116.25315845056,1.63543535052938,4.09414194493358,1.26443311409146e-06,0.589969104954218,-1.07149976330426e-06,0.0778797947177689,4089.25208141931,0.706388098872783,0.0109797745174757,0.020871928944192,0.0995308497925037,0.775529936805304,0.133568702297147,0.0424935679708039,0.0719188652162627,0.0618038691630886,0.0501668574768884,0.429542182445982,1.32490640238313,1.32806251045514
